"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]","Currency","BZN|AT"
"02.01.2022 19:00 - 02.01.2022 19:15","150.00","EUR"
"02.01.2022 19:15 - 02.01.2022 19:30","256.92","EUR"
"02.01.2022 19:30 - 02.01.2022 19:45","141.11","EUR"
"02.01.2022 19:45 - 02.01.2022 20:00","129.95","EUR"
"02.01.2022 20:00 - 02.01.2022 20:15","256.97","EUR"
"02.01.2022 20:15 - 02.01.2022 20:30","119.99","EUR"
"02.01.2022 20:30 - 02.01.2022 20:45","109.96","EUR"
"02.01.2022 20:45 - 02.01.2022 21:00","119.90","EUR"
"02.01.2022 21:00 - 02.01.2022 21:15","146.07","EUR"
"02.01.2022 21:15 - 02.01.2022 21:30","109.94","EUR"
"02.01.2022 21:30 - 02.01.2022 21:45","82.00","EUR"
"02.01.2022 21:45 - 02.01.2022 22:00","66.07","EUR"
"02.01.2022 22:00 - 02.01.2022 22:15","120.00","EUR"
"02.01.2022 22:15 - 02.01.2022 22:30","109.94","EUR"
"02.01.2022 22:30 - 02.01.2022 22:45","93.98","EUR"
"02.01.2022 22:45 - 02.01.2022 23:00","96.38","EUR"
"02.01.2022 23:00 - 02.01.2022 23:15","150.00","EUR"
"02.01.2022 23:15 - 02.01.2022 23:30","99.94","EUR"
"02.01.2022 23:30 - 02.01.2022 23:45","87.91","EUR"
"02.01.2022 23:45 - 03.01.2022 00:00","50.15","EUR"
"03.01.2022 00:00 - 03.01.2022 00:15","150.00","EUR"
"03.01.2022 00:15 - 03.01.2022 00:30","98.50","EUR"
"03.01.2022 00:30 - 03.01.2022 00:45","70.01","EUR"
"03.01.2022 00:45 - 03.01.2022 01:00","53.72","EUR"
"03.01.2022 01:00 - 03.01.2022 01:15","144.95","EUR"
"03.01.2022 01:15 - 03.01.2022 01:30","70.10","EUR"
"03.01.2022 01:30 - 03.01.2022 01:45","60.05","EUR"
"03.01.2022 01:45 - 03.01.2022 02:00","25.38","EUR"
"03.01.2022 02:00 - 03.01.2022 02:15","120.00","EUR"
"03.01.2022 02:15 - 03.01.2022 02:30","70.06","EUR"
"03.01.2022 02:30 - 03.01.2022 02:45","50.03","EUR"
"03.01.2022 02:45 - 03.01.2022 03:00","34.29","EUR"
"03.01.2022 03:00 - 03.01.2022 03:15","70.06","EUR"
"03.01.2022 03:15 - 03.01.2022 03:30","60.04","EUR"
"03.01.2022 03:30 - 03.01.2022 03:45","50.06","EUR"
"03.01.2022 03:45 - 03.01.2022 04:00","60.08","EUR"
"03.01.2022 04:00 - 03.01.2022 04:15","-20.00","EUR"
"03.01.2022 04:15 - 03.01.2022 04:30","50.04","EUR"
"03.01.2022 04:30 - 03.01.2022 04:45","80.68","EUR"
"03.01.2022 04:45 - 03.01.2022 05:00","150.00","EUR"
"03.01.2022 05:00 - 03.01.2022 05:15","-20.00","EUR"
"03.01.2022 05:15 - 03.01.2022 05:30","50.03","EUR"
"03.01.2022 05:30 - 03.01.2022 05:45","127.23","EUR"
"03.01.2022 05:45 - 03.01.2022 06:00","214.98","EUR"
"03.01.2022 06:00 - 03.01.2022 06:15","0.02","EUR"
"03.01.2022 06:15 - 03.01.2022 06:30","75.00","EUR"
"03.01.2022 06:30 - 03.01.2022 06:45","183.61","EUR"
"03.01.2022 06:45 - 03.01.2022 07:00","249.98","EUR"
"03.01.2022 07:00 - 03.01.2022 07:15","80.35","EUR"
"03.01.2022 07:15 - 03.01.2022 07:30","169.91","EUR"
"03.01.2022 07:30 - 03.01.2022 07:45","256.94","EUR"
"03.01.2022 07:45 - 03.01.2022 08:00","270.98","EUR"
"03.01.2022 08:00 - 03.01.2022 08:15","135.06","EUR"
"03.01.2022 08:15 - 03.01.2022 08:30","185.00","EUR"
"03.01.2022 08:30 - 03.01.2022 08:45","195.00","EUR"
"03.01.2022 08:45 - 03.01.2022 09:00","234.99","EUR"
"03.01.2022 09:00 - 03.01.2022 09:15","170.08","EUR"
"03.01.2022 09:15 - 03.01.2022 09:30","200.00","EUR"
"03.01.2022 09:30 - 03.01.2022 09:45","200.00","EUR"
"03.01.2022 09:45 - 03.01.2022 10:00","170.00","EUR"
"03.01.2022 10:00 - 03.01.2022 10:15","190.00","EUR"
"03.01.2022 10:15 - 03.01.2022 10:30","175.00","EUR"
"03.01.2022 10:30 - 03.01.2022 10:45","157.71","EUR"
"03.01.2022 10:45 - 03.01.2022 11:00","150.06","EUR"
"03.01.2022 11:00 - 03.01.2022 11:15","234.93","EUR"
"03.01.2022 11:15 - 03.01.2022 11:30","199.93","EUR"
"03.01.2022 11:30 - 03.01.2022 11:45","150.00","EUR"
"03.01.2022 11:45 - 03.01.2022 12:00","155.00","EUR"
"03.01.2022 12:00 - 03.01.2022 12:15","239.96","EUR"
"03.01.2022 12:15 - 03.01.2022 12:30","214.97","EUR"
"03.01.2022 12:30 - 03.01.2022 12:45","176.84","EUR"
"03.01.2022 12:45 - 03.01.2022 13:00","165.00","EUR"
"03.01.2022 13:00 - 03.01.2022 13:15","180.00","EUR"
"03.01.2022 13:15 - 03.01.2022 13:30","170.00","EUR"
"03.01.2022 13:30 - 03.01.2022 13:45","140.08","EUR"
"03.01.2022 13:45 - 03.01.2022 14:00","140.05","EUR"
"03.01.2022 14:00 - 03.01.2022 14:15","170.00","EUR"
"03.01.2022 14:15 - 03.01.2022 14:30","165.00","EUR"
"03.01.2022 14:30 - 03.01.2022 14:45","170.00","EUR"
"03.01.2022 14:45 - 03.01.2022 15:00","213.20","EUR"
"03.01.2022 15:00 - 03.01.2022 15:15","155.09","EUR"
"03.01.2022 15:15 - 03.01.2022 15:30","160.08","EUR"
"03.01.2022 15:30 - 03.01.2022 15:45","180.98","EUR"
"03.01.2022 15:45 - 03.01.2022 16:00","220.00","EUR"
"03.01.2022 16:00 - 03.01.2022 16:15","180.00","EUR"
"03.01.2022 16:15 - 03.01.2022 16:30","175.02","EUR"
"03.01.2022 16:30 - 03.01.2022 16:45","180.81","EUR"
"03.01.2022 16:45 - 03.01.2022 17:00","250.00","EUR"
"03.01.2022 17:00 - 03.01.2022 17:15","235.01","EUR"
"03.01.2022 17:15 - 03.01.2022 17:30","219.43","EUR"
"03.01.2022 17:30 - 03.01.2022 17:45","200.08","EUR"
"03.01.2022 17:45 - 03.01.2022 18:00","257.47","EUR"
"03.01.2022 18:00 - 03.01.2022 18:15","220.08","EUR"
"03.01.2022 18:15 - 03.01.2022 18:30","180.09","EUR"
"03.01.2022 18:30 - 03.01.2022 18:45","170.05","EUR"
"03.01.2022 18:45 - 03.01.2022 19:00","170.01","EUR"
"03.01.2022 19:00 - 03.01.2022 19:15","270.00","EUR"
"03.01.2022 19:15 - 03.01.2022 19:30","239.90","EUR"
"03.01.2022 19:30 - 03.01.2022 19:45","177.90","EUR"
"03.01.2022 19:45 - 03.01.2022 20:00","87.68","EUR"
"03.01.2022 20:00 - 03.01.2022 20:15","256.95","EUR"
"03.01.2022 20:15 - 03.01.2022 20:30","196.66","EUR"
"03.01.2022 20:30 - 03.01.2022 20:45","150.05","EUR"
"03.01.2022 20:45 - 03.01.2022 21:00","100.06","EUR"
"03.01.2022 21:00 - 03.01.2022 21:15","234.06","EUR"
"03.01.2022 21:15 - 03.01.2022 21:30","200.00","EUR"
"03.01.2022 21:30 - 03.01.2022 21:45","110.08","EUR"
"03.01.2022 21:45 - 03.01.2022 22:00","87.69","EUR"
"03.01.2022 22:00 - 03.01.2022 22:15","205.00","EUR"
"03.01.2022 22:15 - 03.01.2022 22:30","174.87","EUR"
"03.01.2022 22:30 - 03.01.2022 22:45","110.08","EUR"
"03.01.2022 22:45 - 03.01.2022 23:00","110.05","EUR"
"03.01.2022 23:00 - 03.01.2022 23:15","195.00","EUR"
"03.01.2022 23:15 - 03.01.2022 23:30","150.00","EUR"
"03.01.2022 23:30 - 03.01.2022 23:45","100.08","EUR"
"03.01.2022 23:45 - 04.01.2022 00:00","88.60","EUR"
"04.01.2022 00:00 - 04.01.2022 00:15","152.87","EUR"
"04.01.2022 00:15 - 04.01.2022 00:30","126.86","EUR"
"04.01.2022 00:30 - 04.01.2022 00:45","78.14","EUR"
"04.01.2022 00:45 - 04.01.2022 01:00","45.00","EUR"
"04.01.2022 01:00 - 04.01.2022 01:15","150.00","EUR"
"04.01.2022 01:15 - 04.01.2022 01:30","104.14","EUR"
"04.01.2022 01:30 - 04.01.2022 01:45","64.98","EUR"
"04.01.2022 01:45 - 04.01.2022 02:00","54.90","EUR"
"04.01.2022 02:00 - 04.01.2022 02:15","129.92","EUR"
"04.01.2022 02:15 - 04.01.2022 02:30","74.98","EUR"
"04.01.2022 02:30 - 04.01.2022 02:45","99.90","EUR"
"04.01.2022 02:45 - 04.01.2022 03:00","69.79","EUR"
"04.01.2022 03:00 - 04.01.2022 03:15","109.92","EUR"
"04.01.2022 03:15 - 04.01.2022 03:30","99.91","EUR"
"04.01.2022 03:30 - 04.01.2022 03:45","70.99","EUR"
"04.01.2022 03:45 - 04.01.2022 04:00","92.27","EUR"
"04.01.2022 04:00 - 04.01.2022 04:15","65.06","EUR"
"04.01.2022 04:15 - 04.01.2022 04:30","69.23","EUR"
"04.01.2022 04:30 - 04.01.2022 04:45","109.90","EUR"
"04.01.2022 04:45 - 04.01.2022 05:00","150.00","EUR"
"04.01.2022 05:00 - 04.01.2022 05:15","59.97","EUR"
"04.01.2022 05:15 - 04.01.2022 05:30","70.94","EUR"
"04.01.2022 05:30 - 04.01.2022 05:45","151.86","EUR"
"04.01.2022 05:45 - 04.01.2022 06:00","200.85","EUR"
"04.01.2022 06:00 - 04.01.2022 06:15","-9.92","EUR"
"04.01.2022 06:15 - 04.01.2022 06:30","139.91","EUR"
"04.01.2022 06:30 - 04.01.2022 06:45","219.62","EUR"
"04.01.2022 06:45 - 04.01.2022 07:00","310.00","EUR"
"04.01.2022 07:00 - 04.01.2022 07:15","69.12","EUR"
"04.01.2022 07:15 - 04.01.2022 07:30","151.86","EUR"
"04.01.2022 07:30 - 04.01.2022 07:45","239.68","EUR"
"04.01.2022 07:45 - 04.01.2022 08:00","310.00","EUR"
"04.01.2022 08:00 - 04.01.2022 08:15","152.87","EUR"
"04.01.2022 08:15 - 04.01.2022 08:30","199.90","EUR"
"04.01.2022 08:30 - 04.01.2022 08:45","219.95","EUR"
"04.01.2022 08:45 - 04.01.2022 09:00","229.98","EUR"
"04.01.2022 09:00 - 04.01.2022 09:15","199.93","EUR"
"04.01.2022 09:15 - 04.01.2022 09:30","209.94","EUR"
"04.01.2022 09:30 - 04.01.2022 09:45","209.90","EUR"
"04.01.2022 09:45 - 04.01.2022 10:00","180.00","EUR"
"04.01.2022 10:00 - 04.01.2022 10:15","216.48","EUR"
"04.01.2022 10:15 - 04.01.2022 10:30","184.95","EUR"
"04.01.2022 10:30 - 04.01.2022 10:45","184.96","EUR"
"04.01.2022 10:45 - 04.01.2022 11:00","199.92","EUR"
"04.01.2022 11:00 - 04.01.2022 11:15","229.93","EUR"
"04.01.2022 11:15 - 04.01.2022 11:30","194.92","EUR"
"04.01.2022 11:30 - 04.01.2022 11:45","186.51","EUR"
"04.01.2022 11:45 - 04.01.2022 12:00","175.00","EUR"
"04.01.2022 12:00 - 04.01.2022 12:15","249.90","EUR"
"04.01.2022 12:15 - 04.01.2022 12:30","186.62","EUR"
"04.01.2022 12:30 - 04.01.2022 12:45","164.93","EUR"
"04.01.2022 12:45 - 04.01.2022 13:00","152.87","EUR"
"04.01.2022 13:00 - 04.01.2022 13:15","249.95","EUR"
"04.01.2022 13:15 - 04.01.2022 13:30","196.83","EUR"
"04.01.2022 13:30 - 04.01.2022 13:45","152.87","EUR"
"04.01.2022 13:45 - 04.01.2022 14:00","152.87","EUR"
"04.01.2022 14:00 - 04.01.2022 14:15","209.91","EUR"
"04.01.2022 14:15 - 04.01.2022 14:30","179.01","EUR"
"04.01.2022 14:30 - 04.01.2022 14:45","176.86","EUR"
"04.01.2022 14:45 - 04.01.2022 15:00","152.87","EUR"
"04.01.2022 15:00 - 04.01.2022 15:15","181.88","EUR"
"04.01.2022 15:15 - 04.01.2022 15:30","176.86","EUR"
"04.01.2022 15:30 - 04.01.2022 15:45","175.00","EUR"
"04.01.2022 15:45 - 04.01.2022 16:00","190.00","EUR"
"04.01.2022 16:00 - 04.01.2022 16:15","146.28","EUR"
"04.01.2022 16:15 - 04.01.2022 16:30","152.87","EUR"
"04.01.2022 16:30 - 04.01.2022 16:45","199.19","EUR"
"04.01.2022 16:45 - 04.01.2022 17:00","249.95","EUR"
"04.01.2022 17:00 - 04.01.2022 17:15","151.86","EUR"
"04.01.2022 17:15 - 04.01.2022 17:30","190.00","EUR"
"04.01.2022 17:30 - 04.01.2022 17:45","217.47","EUR"
"04.01.2022 17:45 - 04.01.2022 18:00","229.97","EUR"
"04.01.2022 18:00 - 04.01.2022 18:15","199.59","EUR"
"04.01.2022 18:15 - 04.01.2022 18:30","219.90","EUR"
"04.01.2022 18:30 - 04.01.2022 18:45","170.00","EUR"
"04.01.2022 18:45 - 04.01.2022 19:00","155.00","EUR"
"04.01.2022 19:00 - 04.01.2022 19:15","255.28","EUR"
"04.01.2022 19:15 - 04.01.2022 19:30","190.00","EUR"
"04.01.2022 19:30 - 04.01.2022 19:45","160.00","EUR"
"04.01.2022 19:45 - 04.01.2022 20:00","135.43","EUR"
"04.01.2022 20:00 - 04.01.2022 20:15","267.36","EUR"
"04.01.2022 20:15 - 04.01.2022 20:30","190.86","EUR"
"04.01.2022 20:30 - 04.01.2022 20:45","151.86","EUR"
"04.01.2022 20:45 - 04.01.2022 21:00","72.90","EUR"
"04.01.2022 21:00 - 04.01.2022 21:15","209.94","EUR"
